@relation traffic_pattern-weka.filters.unsupervised.attribute.Remove-R3_clustered

@attribute Instance_number numeric
@attribute dataave numeric
@attribute datavar numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
217,135,3913.25,cluster2
218,115,3684,cluster2
219,137,3465,cluster2
220,113,3720.083333,cluster2
221,121,3436.375,cluster2
222,452,144403.008547,cluster0
223,130,3680.666667,cluster2
224,130,3960.727273,cluster2
225,135,3913.25,cluster2
226,135,3913.25,cluster2
227,111,3135.857143,cluster2
228,126,3458.2,cluster2
229,109,3374.285714,cluster2
230,91,944.333333,cluster2
231,138,3659.333333,cluster2
232,131,4297.1,cluster2
233,130,3680.666667,cluster2
234,226,103810.190476,cluster1
235,110,3342.285714,cluster2
236,135,3913.25,cluster2
237,124,4338,cluster2
238,121,4013.2,cluster2
239,135,3913.25,cluster2
240,135,3913.25,cluster2
241,136,3645.1,cluster2
242,125,3128.636364,cluster2
243,135,3913.25,cluster2
244,119,3324,cluster2
245,131,4297.1,cluster2
246,133,3606.181818,cluster2
247,116,4522.2,cluster2
248,94,1151.212766,cluster2
249,140,3840.222222,cluster2
250,122,2964,cluster2
251,123,3224.363636,cluster2
252,112,3866.5,cluster2
253,127,4049.090909,cluster2
254,112,3866.5,cluster2
255,93,1168,cluster2
256,130,3680.666667,cluster2
257,110,3010.5,cluster2
258,138,10900.09375,cluster2
259,124,3570.5,cluster2
260,93,1355.903846,cluster2
261,127,40439,cluster2
262,135,3913.25,cluster2
263,135,3913.25,cluster2
264,110,3240,cluster2
265,120,3549.727273,cluster2
266,126,3458.2,cluster2
267,110,3342.285714,cluster2
268,115,2738.285714,cluster2
269,123,3916.7,cluster2
270,137,3763.5,cluster2
271,93,1184.744681,cluster2
272,132,39815.758065,cluster2
273,138,3480,cluster2
274,127,4049.090909,cluster2
275,146,3471.571429,cluster2
276,126,3458.2,cluster2
277,111,3135.857143,cluster2
278,90,777.6,cluster2
279,125,3491.75,cluster2
280,129,3995.272727,cluster2
281,135,3913.25,cluster2
282,146,3471.571429,cluster2
283,116,4522.2,cluster2
284,120,3063.833333,cluster2
285,117,3069,cluster2
286,133,3606.181818,cluster2
287,122,3095.666667,cluster2
288,106,3618.1,cluster2
289,174,76064.806452,cluster1
290,125,3767.142857,cluster2
291,133,40443.213115,cluster2
292,93,1136.755102,cluster2
293,126,3458.2,cluster2
294,126,3458.2,cluster2
295,112,3866.5,cluster2
296,115,2884,cluster2
297,145,37000.72973,cluster2
298,116,4522.2,cluster2
299,132,3527.888889,cluster2
300,135,3913.25,cluster2
301,152,4279.8,cluster2
302,121,3017,cluster2
303,89,772.404762,cluster2
304,197,87556.269231,cluster1
305,131,9521.333333,cluster2
306,127,3964.857143,cluster2
307,130,3680.666667,cluster2
308,121,3363.785714,cluster2
309,131,3186,cluster2
310,137,3465,cluster2
311,146,3628,cluster2
312,123,3224.363636,cluster2
313,132,3454.909091,cluster2
314,135,3913.25,cluster2
315,124,4338,cluster2
316,121,3436.375,cluster2
317,190,79095.482759,cluster1
318,126,3458.2,cluster2
319,120,3040.916667,cluster2
320,137,3465,cluster2
321,138,3659.333333,cluster2
322,135,3913.25,cluster2
323,135,3913.25,cluster2
324,127,3389.8,cluster2
325,116,4522.2,cluster2
326,120,3549.727273,cluster2
327,105,3255.875,cluster2
328,115,3328.375,cluster2
329,134,5311.166667,cluster2
330,135,3913.25,cluster2
331,130,3680.666667,cluster2
332,131,10576.6875,cluster2
333,146,3628,cluster2
334,119,3586.357143,cluster2
335,146,3628,cluster2
336,106,3548.5,cluster2
337,136,40283.548387,cluster2
338,123,3805.1,cluster2
339,94,1201.666667,cluster2
340,146,3628,cluster2
341,120,3063.833333,cluster2
342,116,3067.3,cluster2
343,123,4568.363636,cluster2
344,116,4522.2,cluster2
345,121,3436.375,cluster2
346,120,3549.727273,cluster2
347,109,4039.4,cluster2
348,119,3421.071429,cluster2
349,122,3386.75,cluster2
350,93,1219.511111,cluster2
351,142,3157.75,cluster2
352,121,3017,cluster2
353,126,3458.2,cluster2
354,126,3458.2,cluster2
355,116,4522.2,cluster2
356,120,3549.727273,cluster2
357,111,3135.857143,cluster2
358,135,3913.25,cluster2
359,104,4541.166667,cluster2
360,112,3866.5,cluster2
361,119,3709.428571,cluster2
362,114,3478.888889,cluster2
363,122,3252.909091,cluster2
364,126,3458.2,cluster2
365,91,953.891304,cluster2
366,191,82172.535714,cluster1
367,126,3638,cluster2
368,123,3805.1,cluster2
369,115,2738.285714,cluster2
370,127,3365,cluster2
371,132,3490.818182,cluster2
372,114,4169.272727,cluster2
373,135,3913.25,cluster2
374,126,3458.2,cluster2
375,127,3389.8,cluster2
376,135,3913.25,cluster2
377,119,3258,cluster2
378,208,93277.25,cluster1
379,141,3785.555556,cluster2
380,92,1498.081081,cluster2
381,126,3458.2,cluster2
382,129,3995.272727,cluster2
383,116,4522.2,cluster2
384,127,3964.857143,cluster2
385,121,4013.2,cluster2
386,120,3549.727273,cluster2
387,126,3458.2,cluster2
388,126,3458.2,cluster2
389,94,1201.666667,cluster2
390,213,101083.818182,cluster1
391,133,11610.6,cluster2
392,141,3785.555556,cluster2
393,120,3063.833333,cluster2
394,89,754.465116,cluster2
395,135,3913.25,cluster2
396,139,3581.5,cluster2
397,124,2906,cluster2
398,124,2906,cluster2
399,89,754.465116,cluster2
400,123,3805.1,cluster2
401,130,3210.4,cluster2
402,135,3913.25,cluster2
403,137,3719,cluster2
404,201,86930.5,cluster1
405,135,3913.25,cluster2
406,126,3458.2,cluster2
407,520,130400.533123,cluster0
408,126,3458.2,cluster2
409,123,3583.25,cluster2
410,120,3549.727273,cluster2
411,102,3917,cluster2
412,137,3465,cluster2
413,128,3434,cluster2
414,120,4272.916667,cluster2
415,122,3621.625,cluster2
416,105,5328.935065,cluster2
417,146,3471.571429,cluster2
418,92,1012.045455,cluster2
419,120,4272.916667,cluster2
420,139,3382.375,cluster2
421,112,3866.5,cluster2
422,116,4522.2,cluster2
423,116,4522.2,cluster2
424,89,772.404762,cluster2
425,123,4100.083333,cluster2
426,91,999.543478,cluster2
427,126,3458.2,cluster2
428,94,1143.632653,cluster2
429,121,3436.375,cluster2
430,117,3152.444444,cluster2
431,116,4522.2,cluster2
432,146,3628,cluster2
433,146,3628,cluster2
434,115,3569,cluster2
435,218,113348.473684,cluster1
436,121,4397.75,cluster2
437,138,3659.333333,cluster2
438,92,1240,cluster2
439,130,3680.666667,cluster2
440,146,3628,cluster2
441,135,3470.090909,cluster2
442,89,772.404762,cluster2
443,130,3680.666667,cluster2
444,115,3569,cluster2
445,135,3913.25,cluster2
446,94,1175.891304,cluster2
447,520,165863.777778,cluster0
448,146,3628,cluster2
449,213,96653.391304,cluster1
450,109,2773.375,cluster2
451,137,3465,cluster2
452,177,73516.8125,cluster1
453,129,4537,cluster2
454,130,3680.666667,cluster2
455,123,3224.363636,cluster2
456,130,3680.666667,cluster2
457,115,2884,cluster2
458,139,3382.375,cluster2
459,135,3913.25,cluster2
460,114,4169.272727,cluster2
461,130,3680.666667,cluster2
462,136,3645.1,cluster2
463,124,4338,cluster2
464,89,754.465116,cluster2
465,90,758.634146,cluster2
466,148,3822.4,cluster2
467,135,3913.25,cluster2
468,120,3549.727273,cluster2
469,119,2632.428571,cluster2
470,120,3063.833333,cluster2
471,135,3913.25,cluster2
472,126,3754.666667,cluster2
473,130,3680.666667,cluster2
474,92,1289.717391,cluster2
475,122,3252.909091,cluster2
476,115,3569,cluster2
477,115,2903.285714,cluster2
478,130,3680.666667,cluster2
479,92,1192.354167,cluster2
480,135,3913.25,cluster2
481,125,3767.142857,cluster2
482,126,3458.2,cluster2
483,89,772.404762,cluster2
484,122,3621.625,cluster2
485,91,975.066667,cluster2
486,93,1136.653061,cluster2
487,128,3938.333333,cluster2
488,104,4541.166667,cluster2
489,135,3913.25,cluster2
490,92,1289.717391,cluster2
491,95,1367.836735,cluster2
492,139,3324.25,cluster2
493,117,3323.416667,cluster2
494,139,3382.375,cluster2
495,187,79248.034483,cluster1
496,115,3569,cluster2
497,146,3471.571429,cluster2
498,135,3913.25,cluster2
499,126,3458.2,cluster2
500,112,3866.5,cluster2
501,93,1261.111111,cluster2
502,126,3458.2,cluster2
503,129,10727.121212,cluster2
504,135,4056.866667,cluster2
505,135,3913.25,cluster2
506,133,34760.373333,cluster2
507,139,11763.482759,cluster2
508,122,2951.5,cluster2
509,135,3913.25,cluster2
510,142,3157.75,cluster2
511,113,2890.111111,cluster2
512,120,3063.833333,cluster2
513,135,3913.25,cluster2
514,94,1201.666667,cluster2
515,129,3447.083333,cluster2
516,222,104528.285714,cluster1
517,595,136284.550459,cluster0
518,120,3063.833333,cluster2
519,136,3645.1,cluster2
520,126,3458.2,cluster2
521,130,3210.4,cluster2
522,132,4425.1,cluster2
523,135,3913.25,cluster2
524,94,1175.565217,cluster2
525,111,3135.857143,cluster2
526,131,3426.714286,cluster2
527,126,3458.2,cluster2
528,126,3458.2,cluster2
529,127,3541.25,cluster2
530,124,3561.538462,cluster2
531,126,3458.2,cluster2
532,95,1353.208333,cluster2
533,119,4186.8,cluster2
534,130,3772.25,cluster2
535,126,3458.2,cluster2
536,130,3210.4,cluster2
537,135,3913.25,cluster2
538,119,4215.6,cluster2
539,142,3905.666667,cluster2
540,89,754.465116,cluster2
541,123,3285.714286,cluster2
542,125,3767.142857,cluster2
543,89,814.365854,cluster2
544,127,37758.863636,cluster2
545,125,3370.153846,cluster2
546,128,4172.272727,cluster2
547,94,1228.613636,cluster2
548,121,3228.333333,cluster2
549,122,3621.625,cluster2
550,115,3569,cluster2
551,148,3822.4,cluster2
552,402,264294.756098,cluster0
553,122,3252.909091,cluster2
554,130,3680.666667,cluster2
555,195,87877,cluster1
556,93,1261.111111,cluster2
557,122,3467.636364,cluster2
558,96,1524.686275,cluster2
559,136,3645.1,cluster2
560,185,79679.448276,cluster1
561,113,3833,cluster2
562,134,34071.688312,cluster2
563,111,3135.857143,cluster2
564,136,10784.727273,cluster2
565,120,4272.916667,cluster2
566,93,1210.304348,cluster2
567,120,3549.727273,cluster2
568,135,3913.25,cluster2
569,109,3374.285714,cluster2
570,136,3645.1,cluster2
571,122,3577.625,cluster2
572,151,17125.571429,cluster2
