@relation traffic_pattern-weka.filters.unsupervised.attribute.Remove-R3_clustered

@attribute Instance_number numeric
@attribute dataave numeric
@attribute datavar numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
218,132,3490.818182,cluster1
219,115,3569,cluster2
220,118,3302,cluster2
221,142,3905.666667,cluster1
222,115,4064.875,cluster2
223,131,4297.1,cluster1
224,127,3725.25,cluster1
225,95,1395.291667,cluster3
226,124,2906,cluster2
227,123,3805.1,cluster2
228,127,3389.8,cluster1
229,199,86969.884615,cluster0
230,121,4013.2,cluster2
231,137,3465,cluster1
232,138,3659.333333,cluster1
233,104,2499.8,cluster3
234,126,3424.7,cluster2
235,121,4249,cluster2
236,135,3913.25,cluster1
237,112,4296.181818,cluster2
238,203,93827.583333,cluster0
239,130,3680.666667,cluster1
240,113,3720.083333,cluster2
241,126,3754.666667,cluster2
242,116,3577.444444,cluster2
243,121,3436.375,cluster2
244,123,3224.363636,cluster2
245,139,3382.375,cluster1
246,119,4188.4,cluster2
247,124,3537.307692,cluster2
248,126,3458.2,cluster2
249,105,3534.285714,cluster3
250,112,3866.5,cluster2
251,93,1168.395833,cluster3
252,135,3913.25,cluster1
253,127,3389.8,cluster1
254,120,4272.916667,cluster2
255,142,3905.666667,cluster1
256,132,4425.1,cluster1
257,125,4234,cluster2
258,124,3652.3,cluster2
259,137,3763.5,cluster1
260,124,4338,cluster2
261,138,3659.333333,cluster1
262,116,4522.2,cluster2
263,127,3389.8,cluster1
264,103,2768,cluster3
265,126,3458.2,cluster2
266,137,3763.5,cluster1
267,121,3436.375,cluster2
268,120,3976.307692,cluster2
269,114,4169.272727,cluster2
270,108,2794.5,cluster2
271,138,3659.333333,cluster1
272,115,3104.384615,cluster2
273,93,1210.304348,cluster3
274,137,3390.833333,cluster1
275,132,3454.909091,cluster1
276,146,3628,cluster1
277,116,4522.2,cluster2
278,115,3569,cluster2
279,135,3913.25,cluster1
280,123,3196.636364,cluster2
281,229,114627.105263,cluster0
282,139,35073.24359,cluster1
283,115,3569,cluster2
284,92,1289.717391,cluster3
285,165,66387.222222,cluster0
286,120,3063.833333,cluster2
287,122,3621.625,cluster2
288,96,1374,cluster3
289,135,3913.25,cluster1
290,128,2868.125,cluster1
291,126,3458.2,cluster2
292,132,3490.818182,cluster1
293,126,3458.2,cluster2
294,137,3763.5,cluster1
295,127,4049.090909,cluster1
296,119,3594.285714,cluster2
297,93,1261.111111,cluster3
298,89,772.404762,cluster3
299,126,3458.2,cluster2
300,126,3458.2,cluster2
301,148,3822.4,cluster1
302,120,3063.833333,cluster2
303,109,4571.363636,cluster2
304,133,10092.323529,cluster1
305,222,109822.6,cluster0
306,130,3960.727273,cluster1
307,116,4522.2,cluster2
308,127,3964.857143,cluster1
309,113,3351.6,cluster2
310,130,41748.508475,cluster1
311,146,3471.571429,cluster1
312,125,3370.153846,cluster2
313,211,101556.227273,cluster0
314,123,3583.25,cluster2
315,93,1210.304348,cluster3
316,127,3389.8,cluster1
317,123,15973.8125,cluster2
318,138,3659.333333,cluster1
319,136,3645.1,cluster1
320,110,2645.5,cluster2
321,109,3374.285714,cluster2
322,142,38514.239437,cluster1
323,135,3913.25,cluster1
324,127,3389.8,cluster1
325,108,2794.5,cluster2
326,125,3479.384615,cluster2
327,142,3905.666667,cluster1
328,126,3424.7,cluster2
329,104,4094.692308,cluster3
330,130,3196.75,cluster1
331,135,3913.25,cluster1
332,130,3639,cluster1
333,141,3785.555556,cluster1
334,112,3355,cluster2
335,134,4043.1,cluster1
336,126,3458.2,cluster2
337,124,3676.9,cluster2
338,116,4522.2,cluster2
339,125,3767.142857,cluster2
340,93,1261.111111,cluster3
341,102,3917,cluster3
342,94,1201.333333,cluster3
343,111,3135.857143,cluster2
344,136,3645.1,cluster1
345,110,3244,cluster2
346,117,3069,cluster2
347,115,3659,cluster2
348,94,1228.613636,cluster3
349,128,3339.5,cluster1
350,136,3645.1,cluster1
351,93,1210.304348,cluster3
352,123,4568.363636,cluster2
353,90,1263.6,cluster3
354,112,3569.153846,cluster2
355,126,3458.2,cluster2
356,130,3680.666667,cluster1
357,119,3705.818182,cluster2
358,127,3389.8,cluster1
359,135,3913.25,cluster1
360,135,3913.25,cluster1
361,131,3426.714286,cluster1
362,92,1262.361702,cluster3
363,128,3339.5,cluster1
364,114,4169.272727,cluster2
365,109,3374.285714,cluster2
366,135,3913.25,cluster1
367,138,3659.333333,cluster1
368,130,3680.666667,cluster1
369,116,4522.2,cluster2
370,114,3478.888889,cluster2
371,122,3621.625,cluster2
372,137,3763.5,cluster1
373,150,3946.285714,cluster1
374,135,3913.25,cluster1
375,133,40443.213115,cluster1
376,135,3913.25,cluster1
377,92,989.644444,cluster3
378,109,3374.285714,cluster2
379,126,3458.2,cluster2
380,137,3763.5,cluster1
381,120,3976.307692,cluster2
382,127,3389.8,cluster1
383,103,2756.333333,cluster3
384,137,3763.5,cluster1
385,132,3527.888889,cluster1
386,115,3569,cluster2
387,94,1228.613636,cluster3
388,137,3763.5,cluster1
389,107,2974,cluster2
390,93,1207.829787,cluster3
391,102,3917,cluster3
392,109,3374.285714,cluster2
393,142,3905.666667,cluster1
394,135,3913.25,cluster1
395,123,4075.285714,cluster2
396,116,4522.2,cluster2
397,135,3913.25,cluster1
398,138,3659.333333,cluster1
399,120,3549.727273,cluster2
400,125,3767.142857,cluster2
401,119,3324,cluster2
402,114,4169.272727,cluster2
403,132,3527.888889,cluster1
404,135,3913.25,cluster1
405,120,4333.714286,cluster2
406,120,3063.833333,cluster2
407,126,3458.2,cluster2
408,126,3458.2,cluster2
409,112,3866.5,cluster2
410,120,3549.727273,cluster2
411,120,3063.833333,cluster2
412,135,3470.090909,cluster1
413,130,3680.666667,cluster1
414,113,3609.375,cluster2
415,142,3905.666667,cluster1
416,146,3628,cluster1
417,116,4522.2,cluster2
418,136,3645.1,cluster1
419,108,2708.25,cluster2
420,134,3358.545455,cluster1
421,124,3721.75,cluster2
422,131,39212.603175,cluster1
423,114,3060.142857,cluster2
424,116,3481.166667,cluster2
425,137,3465,cluster1
426,111,3308.285714,cluster2
427,139,36485.891892,cluster1
428,130,3210.4,cluster1
429,136,3645.1,cluster1
430,130,3680.666667,cluster1
431,106,3919.230769,cluster2
432,119,4798.142857,cluster2
433,132,3454.909091,cluster1
434,142,3905.666667,cluster1
435,123,3224.363636,cluster2
436,121,4013.2,cluster2
437,115,2738.285714,cluster2
438,148,3822.4,cluster1
439,94,1183.391304,cluster3
440,126,3458.2,cluster2
441,119,4186.8,cluster2
442,112,3866.5,cluster2
443,124,3676.9,cluster2
444,121,4013.2,cluster2
445,122,3467.636364,cluster2
446,94,1347.882353,cluster3
447,123,4075.285714,cluster2
448,139,3382.375,cluster1
449,132,2919.5,cluster1
450,135,3913.25,cluster1
451,116,3861.125,cluster2
452,91,978.297872,cluster3
453,128,3605.5,cluster1
454,120,3549.727273,cluster2
455,126,3458.2,cluster2
456,126,3458.2,cluster2
457,141,3785.555556,cluster1
458,137,3763.5,cluster1
459,116,4522.2,cluster2
460,128,10147.529412,cluster1
461,92,1240,cluster3
462,131,9839.135135,cluster1
463,128,9419.282051,cluster1
464,120,3063.833333,cluster2
465,126,3458.2,cluster2
466,91,1266.25,cluster3
467,130,3680.666667,cluster1
468,116,4522.2,cluster2
469,137,3465,cluster1
470,113,3433.923077,cluster2
471,130,3680.666667,cluster1
472,114,3060.142857,cluster2
473,106,3134.5,cluster2
474,126,3458.2,cluster2
475,117,3152.444444,cluster2
476,148,3822.4,cluster1
477,129,3840.272727,cluster1
478,92,1035.488372,cluster3
479,126,3458.2,cluster2
480,95,1382,cluster3
481,126,3424.7,cluster2
482,133,40443.213115,cluster1
483,130,3210.4,cluster1
484,135,3913.25,cluster1
485,139,3593.8,cluster1
486,139,3382.375,cluster1
487,126,3458.2,cluster2
488,128,3339.5,cluster1
489,119,3613.214286,cluster2
490,126,3458.2,cluster2
491,114,4169.272727,cluster2
492,135,3913.25,cluster1
493,119,3294.555556,cluster2
494,120,3061.555556,cluster2
495,130,3680.666667,cluster1
496,115,2884,cluster2
497,89,772.404762,cluster3
498,111,3135.857143,cluster2
499,203,89995.24,cluster0
500,104,4541.166667,cluster3
501,146,3471.571429,cluster1
502,130,3680.666667,cluster1
503,91,1021.733333,cluster3
504,94,1209.333333,cluster3
505,132,4425.1,cluster1
506,112,3866.5,cluster2
507,124,3313.75,cluster2
508,130,3960.727273,cluster1
509,133,4223.875,cluster1
510,126,3458.2,cluster2
511,129,2777.625,cluster1
512,135,3913.25,cluster1
513,148,3822.4,cluster1
514,224,115546.684211,cluster0
515,134,42846.438596,cluster1
516,89,772.404762,cluster3
517,121,3017,cluster2
518,130,3960.727273,cluster1
519,130,4758,cluster1
520,93,1184.744681,cluster3
521,114,4169.272727,cluster2
522,131,4297.1,cluster1
523,130,3210.4,cluster1
524,126,3458.2,cluster2
525,116,4522.2,cluster2
526,130,3210.4,cluster1
527,115,4003.272727,cluster2
528,120,3063.833333,cluster2
529,114,4169.272727,cluster2
530,108,5336.883117,cluster2
531,124,4338,cluster2
532,122,3399.75,cluster2
533,122,3467.636364,cluster2
534,124,4338,cluster2
535,135,3913.25,cluster1
536,141,3785.555556,cluster1
537,125,3767.142857,cluster2
538,122,3252.909091,cluster2
539,146,3628,cluster1
540,126,3458.2,cluster2
541,146,3471.571429,cluster1
542,123,4075.285714,cluster2
543,130,3680.666667,cluster1
544,169,3805.857143,cluster1
545,146,3471.571429,cluster1
546,130,3680.666667,cluster1
547,116,4522.2,cluster2
548,146,3628,cluster1
