@relation traffic_pattern

@attribute dataave real
@attribute datavar real
@attribute class {label}

@data
132,4425.1,label
124,4338.0,label
123,4568.363636363636,label
90,1263.6,label
112,3866.5,label
247,124897.05882352941,label
135,3913.25,label
126,3458.2,label
113,3861.3333333333335,label
137,3465.0,label
109,3374.285714285714,label
135,3913.25,label
90,735.6511627906976,label
102,3271.5,label
120,3063.8333333333335,label
118,3348.5,label
126,4014.285714285714,label
120,3063.8333333333335,label
137,3465.0,label
116,4522.2,label
135,3913.25,label
116,4522.2,label
93,1210.304347826087,label
130,3680.6666666666665,label
122,3621.625,label
146,3471.5714285714284,label
121,3436.375,label
130,3639.0,label
94,1191.936170212766,label
126,13674.4,label
168,28141.266666666666,label
114,4169.272727272727,label
132,14688.5,label
95,1401.1224489795918,label
130,3680.6666666666665,label
133,4223.875,label
120,3705.3076923076924,label
150,17946.0,label
120,24526.165217391303,label
116,3861.125,label
123,3196.6363636363635,label
103,3729.1428571428573,label
130,3680.6666666666665,label
112,4331.363636363636,label
120,3263.8888888888887,label
95,1382.0,label
116,4522.2,label
116,4522.2,label
131,10619.59375,label
111,3308.285714285714,label
221,104614.28571428571,label
113,3821.6666666666665,label
135,3913.25,label
133,3040.8571428571427,label
92,1240.0,label
124,3652.3,label
150,3966.4285714285716,label
130,3240.5714285714284,label
123,3583.25,label
121,4013.2,label
95,1326.6122448979593,label
135,3913.25,label
126,3458.2,label
135,3913.25,label
138,3659.3333333333335,label
126,3458.2,label
146,3628.0,label
135,3913.25,label
130,3210.4,label
93,1210.304347826087,label
227,104037.28571428571,label
120,3976.3076923076924,label
117,3152.4444444444443,label
135,3913.25,label
93,1207.8297872340424,label
111,3135.8571428571427,label
126,3754.6666666666665,label
120,3063.8333333333335,label
117,3152.4444444444443,label
126,3424.7,label
94,1209.3333333333333,label
130,3960.7272727272725,label
124,4338.0,label
129,3840.2727272727275,label
118,3730.0,label
93,1261.111111111111,label
127,3964.8571428571427,label
111,3135.8571428571427,label
211,101556.22727272728,label
126,3458.2,label
126,3458.2,label
126,3458.2,label
115,2738.285714285714,label
126,3458.2,label
124,2906.0,label
94,1201.6666666666667,label
127,3964.8571428571427,label
