"No.","time_average","time_variance","data_variance","data_average","class"
"No.","data_Average","data_Variance","class"
0,196.0,25.0,label
1,197.66666666666666,22.222222222222218,label
2,196.0,25.0,label
3,194.33333333333334,22.222222222222218,label
4,194.33333333333334,22.222222222222218,label
5,196.0,25.0,label
6,196.0,25.0,label
7,194.33333333333334,22.222222222222218,label
8,194.33333333333334,22.222222222222218,label
9,196.0,25.0,label
10,197.66666666666666,22.222222222222218,label
11,196.0,25.0,label
12,194.33333333333334,22.222222222222218,label
13,194.33333333333334,22.222222222222218,label
14,196.0,25.0,label
15,196.0,25.0,label
16,194.33333333333334,22.222222222222218,label
17,194.33333333333334,22.222222222222218,label
18,196.0,25.0,label
19,197.66666666666666,22.222222222222218,label
20,196.0,25.0,label
21,194.33333333333334,22.222222222222218,label
22,194.33333333333334,22.222222222222218,label
23,196.0,25.0,label
24,196.0,25.0,label
25,194.33333333333334,22.222222222222218,label
26,194.33333333333334,22.222222222222218,label
27,196.0,25.0,label
28,197.66666666666666,22.222222222222218,label
29,196.0,25.0,label
30,194.33333333333334,22.222222222222218,label
31,194.33333333333334,22.222222222222218,label
32,196.0,25.0,label
33,196.0,25.0,label
34,194.33333333333334,22.222222222222218,label
35,194.33333333333334,22.222222222222218,label
36,194.33333333333334,22.222222222222218,label
37,196.0,25.0,label
38,196.0,25.0,label
39,194.33333333333334,22.222222222222218,label
40,194.33333333333334,22.222222222222218,label
41,196.0,25.0,label
42,197.66666666666666,22.222222222222218,label
43,196.0,25.0,label
44,194.33333333333334,22.222222222222218,label
45,194.33333333333334,22.222222222222218,label
46,196.0,25.0,label
47,196.0,25.0,label
48,194.33333333333334,22.222222222222218,label
49,194.33333333333334,22.222222222222218,label
50,196.0,25.0,label
51,197.66666666666666,22.222222222222218,label
52,196.0,25.0,label
53,194.33333333333334,22.222222222222218,label
54,194.33333333333334,22.222222222222218,label
55,196.0,25.0,label
56,196.0,25.0,label
57,194.33333333333334,22.222222222222218,label
58,194.33333333333334,22.222222222222218,label
59,196.0,25.0,label
60,197.66666666666666,22.222222222222218,label
61,196.0,25.0,label
62,194.33333333333334,22.222222222222218,label
63,194.33333333333334,22.222222222222218,label
64,196.0,25.0,label
65,196.0,25.0,label
66,194.33333333333334,22.222222222222218,label
67,194.33333333333334,22.222222222222218,label
68,196.0,25.0,label
69,197.66666666666666,22.222222222222218,label
70,196.0,25.0,label
71,194.33333333333334,22.222222222222218,label
72,194.33333333333334,22.222222222222218,label
73,196.0,25.0,label
74,196.0,25.0,label
75,194.33333333333334,22.222222222222218,label
76,194.33333333333334,22.222222222222218,label
77,196.0,25.0,label
78,197.66666666666666,22.222222222222218,label
79,196.0,25.0,label
80,194.33333333333334,22.222222222222218,label
81,194.33333333333334,22.222222222222218,label
82,196.0,25.0,label
83,196.0,25.0,label
84,194.33333333333334,22.222222222222218,label
85,194.33333333333334,22.222222222222218,label
86,194.33333333333334,22.222222222222218,label
87,196.0,25.0,label
88,196.0,25.0,label
89,194.33333333333334,22.222222222222218,label
90,194.33333333333334,22.222222222222218,label
91,196.0,25.0,label
92,197.66666666666666,22.222222222222218,label
93,196.0,25.0,label
94,194.33333333333334,22.222222222222218,label
