"No.","time_average","time_variance","data_variance","data_average","class"
0,0.9764705882352941,358.9955247981532,160243.3673047674,160243.3673047674,label
1,3.3765281173594133,207.8435566501891,489070.39698224736,489070.39698224736,label
2,0.40067151650811417,1.8198764377058136,142705.67876871862,142705.67876871862,label
3,2.6026119402985075,131.33275437179825,3084171.7031445224,3084171.7031445224,label
4,2.327150084317032,147.1138834462802,3418654.066184808,3418654.066184808,label
5,4.002932551319648,317.10556324764815,2957975.79453627,2957975.79453627,label
6,0.5208333333333334,112.57805434432271,230764.17886342993,230764.17886342993,label
7,0.5282635217568117,112.25408120587032,235150.29537582397,235150.29537582397,label
8,0.6722262509064539,122.6090255731748,224846.54010935087,224846.54010935087,label
9,0.0,0.0,0.0,0.0,label
