@relation traffic_pattern

@attribute dataave real
@attribute datavar real
@attribute class {label}

@data
124,4338.0,label
126,3424.7,label
141,3785.5555555555557,label
133,10006.857142857143,label
93,1160.5416666666667,label
195,81170.78571428571,label
132,3490.818181818182,label
120,3443.818181818182,label
113,3475.2,label
92,964.7727272727273,label
121,3384.1428571428573,label
123,3426.769230769231,label
112,3866.5,label
135,3913.25,label
135,3913.25,label
115,3569.0,label
135,3913.25,label
92,1035.4883720930231,label
135,3913.25,label
135,3913.25,label
130,3240.5714285714284,label
126,3458.2,label
121,3017.0,label
126,3458.2,label
135,3913.25,label
109,2773.375,label
135,3216.8571428571427,label
93,1184.7446808510638,label
212,100848.59090909091,label
113,3526.3333333333335,label
122,3252.909090909091,label
116,3481.1666666666665,label
110,3256.5,label
91,999.5434782608696,label
122,3252.909090909091,label
127,4049.090909090909,label
128,3938.3333333333335,label
127,3964.8571428571427,label
122,3467.6363636363635,label
95,1382.0,label
130,3680.6666666666665,label
130,3680.6666666666665,label
109,2773.375,label
148,3822.4,label
135,3913.25,label
146,3628.0,label
87,532.2051282051282,label
125,3767.1428571428573,label
241,118511.22222222222,label
108,4075.8333333333335,label
131,3426.714285714286,label
110,3244.0,label
130,3639.0,label
93,1417.6,label
124,4338.0,label
113,3720.0833333333335,label
128,4172.272727272727,label
136,3645.1,label
94,1228.6136363636363,label
120,3524.7272727272725,label
123,3224.3636363636365,label
148,3822.4,label
121,2801.0,label
130,3680.6666666666665,label
119,2632.4285714285716,label
93,1160.25,label
191,85277.77777777778,label
117,2668.8571428571427,label
126,3458.2,label
137,3465.0,label
120,3063.8333333333335,label
126,3458.2,label
135,3913.25,label
89,772.4047619047619,label
127,3389.8,label
148,3822.4,label
127,3389.8,label
136,3645.1,label
103,4198.0,label
114,3013.714285714286,label
92,1503.22,label
121,3984.7,label
120,4272.916666666667,label
135,3913.25,label
116,4522.2,label
110,3162.714285714286,label
126,3458.2,label
92,1035.4883720930231,label
135,3913.25,label
229,114627.1052631579,label
129,4537.0,label
115,3569.0,label
112,3866.5,label
135,3913.25,label
135,3913.25,label
126,3458.2,label
129,3036.375,label
89,772.4047619047619,label
135,3913.25,label
134,34322.13157894737,label
141,3785.5555555555557,label
130,3680.6666666666665,label
146,3471.5714285714284,label
119,3324.0,label
94,1228.6136363636363,label
120,3705.3076923076924,label
135,3913.25,label
133,11060.774193548386,label
122,2934.1666666666665,label
135,3913.25,label
130,2972.75,label
126,3458.2,label
126,3458.2,label
131,41112.75,label
106,3514.8571428571427,label
121,3898.0,label
135,3913.25,label
116,4522.2,label
112,3866.5,label
127,3964.8571428571427,label
116,4522.2,label
126,3458.2,label
92,1236.1458333333333,label
115,4064.875,label
116,4522.2,label
116,4522.2,label
135,3913.25,label
138,3659.3333333333335,label
135,3913.25,label
130,3210.4,label
121,3436.375,label
120,3063.8333333333335,label
89,772.4047619047619,label
135,3913.25,label
135,3913.25,label
142,3905.6666666666665,label
130,3680.6666666666665,label
137,3465.0,label
133,3606.181818181818,label
129,39220.269841269845,label
142,3905.6666666666665,label
135,3913.25,label
126,3458.2,label
146,3628.0,label
130,3210.4,label
126,3458.2,label
135,3913.25,label
89,754.4651162790698,label
126,3458.2,label
148,3822.4,label
135,3913.25,label
115,3569.0,label
146,3628.0,label
126,3458.2,label
135,3913.25,label
111,3135.8571428571427,label
126,3458.2,label
89,754.4651162790698,label
131,3426.714285714286,label
126,3458.2,label
126,3458.2,label
146,3628.0,label
126,3458.2,label
126,3458.2,label
148,2311.75,label
115,3569.0,label
109,3374.285714285714,label
90,777.6,label
209,93226.04166666667,label
126,3458.2,label
141,3785.5555555555557,label
135,3913.25,label
130,3680.6666666666665,label
94,1201.6666666666667,label
122,3252.909090909091,label
130,3639.0,label
135,3913.25,label
135,3913.25,label
115,3569.0,label
124,2906.0,label
135,3913.25,label
132,3369.8571428571427,label
89,772.4047619047619,label
126,3458.2,label
137,3465.0,label
135,3913.25,label
116,4522.2,label
125,3911.3333333333335,label
93,1233.7826086956522,label
191,88288.26923076923,label
112,3866.5,label
130,3680.6666666666665,label
136,3074.0,label
126,3458.2,label
93,1184.7446808510638,label
133,3245.3333333333335,label
115,3121.6923076923076,label
121,4013.2,label
131,3758.153846153846,label
93,1210.304347826087,label
139,3382.375,label
114,3605.8333333333335,label
127,3964.8571428571427,label
135,3913.25,label
130,3210.4,label
137,3465.0,label
137,38012.42647058824,label
213,101040.18181818182,label
135,3913.25,label
135,3913.25,label
129,3447.0833333333335,label
135,3913.25,label
126,3610.0833333333335,label
93,1136.7551020408164,label
130,3680.6666666666665,label
133,3245.3333333333335,label
127,3964.8571428571427,label
138,3480.0,label
94,1228.6136363636363,label
111,3135.8571428571427,label
130,3960.7272727272725,label
137,3465.0,label
118,3730.0,label
126,9495.948717948719,label
113,3821.6666666666665,label
89,772.4047619047619,label
241,118511.22222222222,label
121,4549.0,label
135,3913.25,label
122,3894.1,label
111,3547.5,label
112,3569.153846153846,label
93,1422.7058823529412,label
121,4013.2,label
131,4297.1,label
139,3382.375,label
115,3569.0,label
94,1228.6136363636363,label
127,3964.8571428571427,label
136,3645.1,label
120,3524.7272727272725,label
112,3866.5,label
123,3760.875,label
92,964.8863636363636,label
217,100024.86363636363,label
121,4344.8,label
116,3461.5833333333335,label
116,4522.2,label
105,2673.0,label
116,4522.2,label
121,3842.875,label
89,772.4047619047619,label
146,3628.0,label
116,4522.2,label
112,3866.5,label
116,4522.2,label
116,4522.2,label
135,3913.25,label
144,2693.75,label
114,3316.6,label
126,3458.2,label
89,772.4047619047619,label
137,3390.8333333333335,label
115,3569.0,label
126,3458.2,label
135,3913.25,label
135,3913.25,label
135,3913.25,label
138,3659.3333333333335,label
126,3458.2,label
135,3913.25,label
92,964.7727272727273,label
222,109809.45,label
119,4186.8,label
135,3913.25,label
130,3680.6666666666665,label
137,3719.0,label
136,3074.0,label
89,772.4047619047619,label
121,3436.375,label
135,3913.25,label
137,3763.5,label
135,3913.25,label
135,3913.25,label
125,3767.1428571428573,label
126,3458.2,label
89,754.4651162790698,label
126,3458.2,label
135,3913.25,label
135,3913.25,label
130,3680.6666666666665,label
123,3583.25,label
122,4196.0,label
131,3426.714285714286,label
130,39832.72580645161,label
137,3763.5,label
121,4013.2,label
141,3785.5555555555557,label
130,3680.6666666666665,label
92,1012.0454545454545,label
130,3680.6666666666665,label
135,3913.25,label
146,3628.0,label
115,3569.0,label
127,3389.8,label
130,3210.4,label
135,3913.25,label
89,754.4651162790698,label
138,3659.3333333333335,label
135,3913.25,label
126,3458.2,label
129,3840.2727272727275,label
134,3966.625,label
101,2923.6666666666665,label
146,3471.5714285714284,label
133,40909.46666666667,label
129,33442.670886075946,label
115,3684.0,label
135,3913.25,label
138,3480.0,label
135,3913.25,label
131,3426.714285714286,label
91,975.0666666666667,label
137,3763.5,label
146,3628.0,label
135,3913.25,label
135,3913.25,label
135,3913.25,label
126,3458.2,label
135,3913.25,label
131,3426.714285714286,label
106,5554.246376811594,label
129,3028.0,label
126,3754.6666666666665,label
116,4111.909090909091,label
142,3927.5714285714284,label
226,95935.0,label
92,1385.3461538461538,label
109,4571.363636363636,label
116,4522.2,label
142,3905.6666666666665,label
137,3465.0,label
90,1029.1702127659576,label
117,3247.733333333333,label
131,3426.714285714286,label
120,3061.5555555555557,label
133,3606.181818181818,label
130,3680.6666666666665,label
92,964.7727272727273,label
120,3549.7272727272725,label
126,3458.2,label
135,3913.25,label
148,3822.4,label
135,3913.25,label
104,4541.166666666667,label
125,3767.1428571428573,label
214,105871.85714285714,label
89,772.4047619047619,label
126,3458.2,label
130,3680.6666666666665,label
125,3479.3846153846152,label
130,3240.5714285714284,label
130,3680.6666666666665,label
93,1160.25,label
120,3063.8333333333335,label
120,3063.8333333333335,label
123,3145.3571428571427,label
118,4010.3846153846152,label
138,3659.3333333333335,label
93,1184.7446808510638,label
112,3184.6,label
124,3676.9,label
132,3527.8888888888887,label
120,3878.5,label
125,3767.1428571428573,label
133,40437.96721311475,label
142,3905.6666666666665,label
110,3244.0,label
139,3382.375,label
121,3436.375,label
130,3639.0,label
95,1424.9787234042553,label
118,3302.0,label
138,3480.0,label
131,3426.714285714286,label
110,2919.181818181818,label
93,1184.6382978723404,label
127,3725.25,label
146,3628.0,label
126,3458.2,label
135,3913.25,label
120,3063.8333333333335,label
120,3063.8333333333335,label
115,3569.0,label
203,93840.75,label
89,772.4047619047619,label
126,3458.2,label
123,3426.769230769231,label
112,3569.153846153846,label
139,3382.375,label
126,3754.6666666666665,label
94,1411.9375,label
135,3913.25,label
130,3680.6666666666665,label
123,3224.3636363636365,label
126,3754.6666666666665,label
94,1388.9375,label
123,3805.1,label
142,3157.75,label
127,3964.8571428571427,label
130,3240.5714285714284,label
218,100057.68181818182,label
91,954.2173913043479,label
135,35193.90540540541,label
133,10367.030303030304,label
113,3821.6666666666665,label
112,3099.0,label
112,3866.5,label
116,4522.2,label
126,3458.2,label
148,3822.4,label
112,3866.5,label
89,766.7441860465116,label
146,3628.0,label
116,4522.2,label
135,3913.25,label
110,4190.583333333333,label
111,3135.8571428571427,label
130,4758.0,label
126,3458.2,label
126,3458.2,label
89,754.4651162790698,label
123,4075.285714285714,label
113,3720.0833333333335,label
114,4169.272727272727,label
133,3606.181818181818,label
186,76750.73333333334,label
93,1184.7446808510638,label
124,4338.0,label
135,3431.4545454545455,label
121,4013.2,label
120,4272.916666666667,label
93,1160.25,label
124,4338.0,label
142,3905.6666666666665,label
137,3465.0,label
116,4522.2,label
93,1160.1458333333333,label
121,4013.2,label
113,3833.0,label
148,3822.4,label
116,3770.0,label
135,3913.25,label
123,4075.285714285714,label
214,106097.14285714286,label
112,3866.5,label
89,772.4047619047619,label
112,3866.5,label
100,3443.875,label
148,3822.4,label
120,3063.8333333333335,label
120,3063.8333333333335,label
129,4537.0,label
109,3374.285714285714,label
112,3866.5,label
109,3374.285714285714,label
89,772.4047619047619,label
114,3371.0,label
126,3458.2,label
138,3480.0,label
135,3913.25,label
111,3135.8571428571427,label
135,3913.25,label
95,1395.8125,label
126,3458.2,label
115,2738.285714285714,label
125,3767.1428571428573,label
126,3458.2,label
135,3913.25,label
126,3458.2,label
208,101756.59090909091,label
120,3063.8333333333335,label
92,1012.0454545454545,label
137,3465.0,label
113,3720.0833333333335,label
125,3158.181818181818,label
123,3805.1,label
146,3471.5714285714284,label
91,1021.7333333333333,label
127,4049.090909090909,label
112,3866.5,label
109,4571.363636363636,label
111,4421.285714285715,label
93,1184.7446808510638,label
120,4272.916666666667,label
138,3659.3333333333335,label
110,2691.25,label
137,3719.0,label
208,89465.12,label
92,964.7727272727273,label
132,4423.333333333333,label
118,3123.3333333333335,label
116,4522.2,label
109,3374.285714285714,label
148,3822.4,label
116,4522.2,label
135,3913.25,label
146,3628.0,label
89,772.4047619047619,label
112,3866.5,label
130,3680.6666666666665,label
131,3336.3333333333335,label
126,3458.2,label
126,3638.0,label
94,1150.8936170212767,label
125,3492.1,label
131,33191.70886075949,label
108,2794.5,label
160,2514.0,label
115,3569.0,label
222,109757.85,label
135,3913.25,label
139,3581.5,label
135,3913.25,label
108,5524.375,label
118,2620.714285714286,label
123,3224.3636363636365,label
135,3913.25,label
127,3952.3333333333335,label
94,1201.6666666666667,label
130,3680.6666666666665,label
117,3152.4444444444443,label
137,3763.5,label
135,3913.25,label
141,3785.5555555555557,label
90,758.6341463414634,label
114,3060.1428571428573,label
111,3135.8571428571427,label
116,2704.0,label
135,3913.25,label
228,108934.45,label
126,3458.2,label
146,3628.0,label
135,3913.25,label
135,3913.25,label
90,758.6341463414634,label
115,3569.0,label
126,3458.2,label
126,3458.2,label
138,3659.3333333333335,label
135,3913.25,label
126,3458.2,label
146,3628.0,label
135,3913.25,label
135,3913.25,label
89,754.4651162790698,label
130,3210.4,label
115,3569.0,label
138,3659.3333333333335,label
120,3063.8333333333335,label
146,3628.0,label
135,3913.25,label
126,3458.2,label
135,3913.25,label
135,3913.25,label
89,772.4047619047619,label
126,3458.2,label
127,3964.8571428571427,label
135,3913.25,label
126,3458.2,label
199,90525.04,label
135,3913.25,label
135,3913.25,label
135,3913.25,label
94,1228.6136363636363,label
125,3491.75,label
130,3680.6666666666665,label
123,4075.285714285714,label
118,3730.0,label
121,4013.2,label
92,1262.3617021276596,label
127,3964.8571428571427,label
136,3645.1,label
126,3458.2,label
130,3680.6666666666665,label
142,3905.6666666666665,label
89,772.4047619047619,label
130,3210.4,label
129,4537.0,label
112,3866.5,label
116,4522.2,label
235,103638.38095238095,label
119,3324.0,label
124,4338.0,label
92,1289.7173913043478,label
114,3982.285714285714,label
109,3362.5,label
110,4009.75,label
114,3744.6,label
135,3913.25,label
90,758.6341463414634,label
120,3061.5555555555557,label
135,3913.25,label
116,4522.2,label
126,3458.2,label
135,3913.25,label
138,3659.3333333333335,label
94,2746.0,label
138,3659.3333333333335,label
93,1233.891304347826,label
118,3730.0,label
100,3334.5,label
214,96283.91304347826,label
108,2987.8333333333335,label
119,3688.0,label
124,4338.0,label
93,1199.8958333333333,label
135,3913.25,label
137,3763.5,label
134,3152.777777777778,label
117,3152.4444444444443,label
135,3913.25,label
90,777.6,label
115,3569.0,label
135,3913.25,label
126,3458.2,label
148,3822.4,label
121,3017.0,label
160,2514.0,label
107,2574.5,label
138,3659.3333333333335,label
95,1300.58,label
131,32931.8,label
130,9626.594594594595,label
198,84071.77777777778,label
132,3490.818181818182,label
126,3458.2,label
121,3898.0,label
90,777.6,label
127,3964.8571428571427,label
135,3913.25,label
135,3913.25,label
146,3628.0,label
126,3458.2,label
135,3913.25,label
122,3252.909090909091,label
94,1183.391304347826,label
119,3613.214285714286,label
124,3820.25,label
118,3730.0,label
133,4223.875,label
111,3135.8571428571427,label
90,777.6,label
127,3964.8571428571427,label
135,3913.25,label
213,101083.81818181818,label
135,3913.25,label
135,3913.25,label
126,3458.2,label
130,3680.6666666666665,label
93,1216.1489361702127,label
128,4229.615384615385,label
116,4522.2,label
108,4219.833333333333,label
128,4172.272727272727,label
106,2992.375,label
89,772.4047619047619,label
137,3465.0,label
135,3913.25,label
126,3458.2,label
126,3458.2,label
135,3913.25,label
111,3135.8571428571427,label
121,3842.875,label
119,3688.0,label
92,999.3555555555556,label
115,4064.875,label
135,3913.25,label
215,92223.04166666667,label
112,3108.1428571428573,label
148,3822.4,label
112,3866.5,label
115,3569.0,label
123,4075.285714285714,label
89,754.4651162790698,label
135,3913.25,label
116,4522.2,label
135,3913.25,label
135,3913.25,label
130,4758.0,label
135,3913.25,label
112,3866.5,label
129,4537.0,label
130,3210.4,label
89,720.9777777777778,label
135,3913.25,label
135,3913.25,label
121,2969.5,label
148,3822.4,label
135,3913.25,label
135,3913.25,label
136,3645.1,label
138,3659.3333333333335,label
94,1333.72,label
207,89525.0,label
129,3840.2727272727275,label
116,4522.2,label
93,1216.1489361702127,label
115,3256.1875,label
124,4338.0,label
141,3785.5555555555557,label
124,4338.0,label
116,4522.2,label
90,758.6341463414634,label
106,2265.4,label
148,3822.4,label
135,3913.25,label
126,3458.2,label
146,3628.0,label
126,3458.2,label
135,3913.25,label
128,3339.5,label
94,1151.212765957447,label
122,3658.5,label
193,87821.03846153847,label
158,8207.166666666666,label
127,3389.8,label
137,35678.931506849316,label
116,3854.4545454545455,label
133,3606.181818181818,label
127,4049.090909090909,label
121,4013.2,label
93,1261.111111111111,label
128,3653.75,label
129,9651.972222222223,label
126,3412.7,label
130,3680.6666666666665,label
114,2926.285714285714,label
94,1412.26,label
137,3465.0,label
188,79509.0,label
121,4013.2,label
112,3677.0,label
93,1261.111111111111,label
127,3964.8571428571427,label
138,3480.0,label
120,3878.5,label
125,3767.1428571428573,label
120,3549.7272727272725,label
93,1261.111111111111,label
127,3964.8571428571427,label
123,4568.363636363636,label
112,3866.5,label
118,3730.0,label
111,3473.6923076923076,label
93,1207.8297872340424,label
124,3765.2,label
126,3458.2,label
195,81287.89285714286,label
139,3382.375,label
126,3424.7,label
92,1240.0,label
116,4522.2,label
135,3913.25,label
116,4522.2,label
116,4522.2,label
126,3458.2,label
126,3458.2,label
138,3659.3333333333335,label
135,3913.25,label
91,944.3333333333334,label
126,3458.2,label
114,3060.1428571428573,label
126,3458.2,label
135,3913.25,label
126,3458.2,label
119,3294.5555555555557,label
112,3866.5,label
115,2738.285714285714,label
146,3628.0,label
87,519.125,label
121,3436.375,label
135,3913.25,label
135,3913.25,label
135,3913.25,label
206,110012.6,label
129,9251.818181818182,label
