@relation traffic_pattern

@attribute dataave real
@attribute datavar real
@attribute class {label}

@data
115,4023.7272727272725,label
126,3458.2,label
89,754.4651162790698,label
148,3822.4,label
109,2773.375,label
137,3390.8333333333335,label
126,3458.2,label
135,3913.25,label
135,3913.25,label
121,3017.0,label
229,114627.1052631579,label
94,1151.212765957447,label
119,3294.5555555555557,label
106,2992.375,label
137,3465.0,label
110,3347.3571428571427,label
133,34760.37333333334,label
106,3618.1,label
120,3063.8333333333335,label
139,3324.25,label
115,3569.0,label
137,3763.5,label
146,3471.5714285714284,label
91,975.0666666666667,label
135,3913.25,label
139,3382.375,label
127,3964.8571428571427,label
136,3645.1,label
132,3527.8888888888887,label
93,1136.7551020408164,label
185,82863.75,label
128,9816.0,label
110,3342.285714285714,label
118,4010.3846153846152,label
92,1214.25,label
117,4124.5,label
124,4338.0,label
126,3638.0,label
138,3659.3333333333335,label
115,3613.6666666666665,label
93,1210.304347826087,label
126,3458.2,label
148,3822.4,label
135,3913.25,label
126,3458.2,label
146,3628.0,label
135,3913.25,label
135,3913.25,label
126,3458.2,label
135,3913.25,label
89,772.4047619047619,label
209,92822.54166666667,label
119,3294.5555555555557,label
132,3490.818181818182,label
120,3549.7272727272725,label
122,2964.0,label
95,1367.8367346938776,label
131,4297.1,label
124,4281.142857142857,label
109,4028.4,label
142,3905.6666666666665,label
93,1210.304347826087,label
121,3611.846153846154,label
118,3730.0,label
121,4013.2,label
142,3157.75,label
93,1160.25,label
221,99859.09090909091,label
129,3840.2727272727275,label
130,3680.6666666666665,label
142,3905.6666666666665,label
93,1210.304347826087,label
141,3785.5555555555557,label
108,4219.833333333333,label
124,4699.545454545455,label
125,3128.6363636363635,label
93,1210.304347826087,label
133,4223.875,label
110,3354.9,label
131,3426.714285714286,label
130,3680.6666666666665,label
111,3855.4,label
124,4281.142857142857,label
91,953.8913043478261,label
229,114627.1052631579,label
112,3866.5,label
102,3271.5,label
148,3822.4,label
135,3913.25,label
137,3465.0,label
103,3440.5,label
116,4522.2,label
88,805.9767441860465,label
116,4522.2,label
139,3324.25,label
122,3621.625,label
109,4039.4,label
118,3730.0,label
92,1240.0,label
137,3719.0,label
115,3430.8,label
124,4338.0,label
125,3158.181818181818,label
94,1201.6666666666667,label
197,87361.92307692308,label
118,4056.625,label
119,3421.0714285714284,label
146,3471.5714285714284,label
114,2825.2727272727275,label
93,1184.7446808510638,label
130,3680.6666666666665,label
134,34071.68831168831,label
113,3503.5555555555557,label
117,3069.0,label
131,3426.714285714286,label
121,3436.375,label
137,3719.0,label
94,1201.3333333333333,label
126,3638.0,label
126,3458.2,label
131,9779.378378378378,label
222,104528.28571428571,label
127,3365.0,label
146,3628.0,label
89,772.4047619047619,label
126,3458.2,label
115,3569.0,label
115,2903.285714285714,label
126,3458.2,label
135,3913.25,label
138,3659.3333333333335,label
135,3913.25,label
125,3767.1428571428573,label
135,3913.25,label
93,1210.304347826087,label
126,3458.2,label
126,3458.2,label
135,3913.25,label
138,3659.3333333333335,label
126,3458.2,label
136,3645.1,label
94,1175.5652173913043,label
115,3569.0,label
126,3424.7,label
121,3228.3333333333335,label
146,3471.5714285714284,label
208,93277.25,label
123,3805.1,label
93,1210.304347826087,label
126,3754.6666666666665,label
136,3645.1,label
130,3680.6666666666665,label
130,3680.6666666666665,label
94,1201.6666666666667,label
126,3453.076923076923,label
136,3645.1,label
135,3913.25,label
130,3680.6666666666665,label
95,1424.9787234042553,label
135,3913.25,label
123,3450.230769230769,label
221,104614.28571428571,label
117,3152.4444444444443,label
120,3063.8333333333335,label
92,1012.0454545454545,label
126,3458.2,label
111,3135.8571428571427,label
122,3577.625,label
120,3063.8333333333335,label
135,3913.25,label
112,3866.5,label
135,3913.25,label
94,1201.6666666666667,label
126,3866.4285714285716,label
130,3680.6666666666665,label
135,3913.25,label
142,3905.6666666666665,label
94,1201.6666666666667,label
125,3767.1428571428573,label
122,3467.6363636363635,label
134,3198.8888888888887,label
213,96705.78260869565,label
139,6009.166666666667,label
93,1136.7551020408164,label
120,3549.7272727272725,label
130,3680.6666666666665,label
139,3382.375,label
124,3561.5384615384614,label
94,1228.6136363636363,label
126,3638.0,label
132,3527.8888888888887,label
137,3763.5,label
141,3785.5555555555557,label
94,1175.5652173913043,label
108,2794.5,label
130,3680.6666666666665,label
115,3569.0,label
129,3995.2727272727275,label
190,79095.4827586207,label
127,3145.375,label
91,975.0666666666667,label
118,3421.25,label
142,3905.6666666666665,label
129,3840.2727272727275,label
132,34073.58441558442,label
136,3645.1,label
123,2898.1111111111113,label
114,3478.8888888888887,label
124,4338.0,label
92,1240.0,label
122,3163.3529411764707,label
140,13749.173913043478,label
122,2951.5,label
127,3365.0,label
143,2821.5,label
114,3060.1428571428573,label
121,3017.0,label
138,3659.3333333333335,label
229,108897.55,label
93,1168.0,label
117,3152.4444444444443,label
138,3659.3333333333335,label
121,3436.375,label
124,3561.5384615384614,label
135,3913.25,label
94,1175.5652173913043,label
140,3840.222222222222,label
123,3805.1,label
136,3074.0,label
126,3458.2,label
94,1347.8823529411766,label
129,4537.0,label
109,3374.285714285714,label
116,4522.2,label
109,3374.285714285714,label
138,3659.3333333333335,label
135,3913.25,label
109,3374.285714285714,label
146,3628.0,label
214,106073.33333333333,label
91,1266.25,label
146,3471.5714285714284,label
126,3754.6666666666665,label
134,3358.5454545454545,label
120,3549.7272727272725,label
93,1184.7446808510638,label
135,3913.25,label
137,3763.5,label
141,3785.5555555555557,label
126,3458.2,label
93,1184.7446808510638,label
130,3960.7272727272725,label
139,3382.375,label
128,3339.5,label
115,2906.5,label
132,39815.75806451613,label
126,3458.2,label
138,3659.3333333333335,label
116,4522.2,label
111,3135.8571428571427,label
123,4075.285714285714,label
126,3458.2,label
135,3913.25,label
126,3458.2,label
112,3866.5,label
95,1424.9787234042553,label
126,3638.0,label
116,4522.2,label
112,3569.153846153846,label
114,4169.272727272727,label
95,1367.3265306122448,label
136,3645.1,label
135,3913.25,label
126,3458.2,label
130,13666.56,label
127,40439.0,label
120,4272.916666666667,label
116,4240.125,label
116,3891.0714285714284,label
92,1214.3541666666667,label
137,3465.0,label
135,3913.25,label
124,4338.0,label
142,3905.6666666666665,label
125,3013.0,label
91,1021.7333333333333,label
168,2057.75,label
132,4423.333333333333,label
135,35202.98648648649,label
115,3684.0,label
135,3913.25,label
133,3040.8571428571427,label
126,3458.2,label
120,3063.8333333333335,label
222,104644.42857142857,label
129,10727.121212121212,label
122,2926.5333333333333,label
94,1175.7391304347825,label
126,3610.0833333333335,label
146,3471.5714285714284,label
114,3240.0,label
133,3606.181818181818,label
95,1353.7291666666667,label
122,3467.6363636363635,label
135,3913.25,label
124,3561.5384615384614,label
130,3680.6666666666665,label
95,1353.7291666666667,label
120,3549.7272727272725,label
135,3913.25,label
203,86576.53846153847,label
121,4013.2,label
95,1353.7291666666667,label
120,3654.4545454545455,label
123,3805.1,label
133,3606.181818181818,label
135,3913.25,label
137,3465.0,label
87,532.2051282051282,label
125,3767.1428571428573,label
111,3135.8571428571427,label
112,3866.5,label
135,3913.25,label
130,4758.0,label
135,3913.25,label
124,3820.25,label
94,1201.6666666666667,label
123,3805.1,label
142,3157.75,label
127,3964.8571428571427,label
201,90477.88,label
121,3436.375,label
138,3659.3333333333335,label
91,975.0666666666667,label
138,3659.3333333333335,label
131,3186.0,label
122,3621.625,label
123,3450.230769230769,label
122,3252.909090909091,label
93,1160.25,label
142,3157.75,label
131,3758.153846153846,label
126,3424.7,label
120,3549.7272727272725,label
92,1012.0454545454545,label
135,3913.25,label
123,4075.285714285714,label
130,3680.6666666666665,label
197,87361.92307692308,label
130,3680.6666666666665,label
95,1424.9787234042553,label
138,3480.0,label
112,3866.5,label
124,4338.0,label
112,3866.5,label
130,4758.0,label
89,754.4651162790698,label
135,3913.25,label
146,3628.0,label
112,3866.5,label
109,3374.285714285714,label
104,4541.166666666667,label
112,3866.5,label
106,3919.230769230769,label
146,3471.5714285714284,label
93,1160.25,label
142,3157.75,label
130,3680.6666666666665,label
215,101015.13636363637,label
129,3995.2727272727275,label
120,3063.8333333333335,label
90,777.6,label
131,33519.243589743586,label
138,3659.3333333333335,label
120,3063.8333333333335,label
146,3628.0,label
126,3458.2,label
135,3913.25,label
139,11763.48275862069,label
92,886.4583333333334,label
123,3285.714285714286,label
136,3645.1,label
126,3458.2,label
127,3952.3333333333335,label
146,3471.5714285714284,label
94,1347.5882352941176,label
141,3785.5555555555557,label
126,3458.2,label
203,90074.64,label
112,3108.1428571428573,label
94,1175.891304347826,label
125,3158.181818181818,label
130,3680.6666666666665,label
126,3458.2,label
123,3224.3636363636365,label
133,3569.3636363636365,label
95,1382.0,label
130,3680.6666666666665,label
130,3680.6666666666665,label
133,3606.181818181818,label
135,3913.25,label
95,1353.7291666666667,label
128,3339.5,label
115,3569.0,label
207,97748.95652173914,label
137,3465.0,label
127,3964.8571428571427,label
146,3471.5714285714284,label
91,954.2173913043479,label
135,3913.25,label
139,3382.375,label
130,3960.7272727272725,label
119,3859.4615384615386,label
92,1214.25,label
123,3916.7,label
129,3416.6666666666665,label
122,4102.0,label
126,3458.2,label
116,4522.2,label
90,777.6,label
109,2773.375,label
135,3913.25,label
130,4758.0,label
126,3458.2,label
112,3866.5,label
213,101083.81818181818,label
127,3389.8,label
135,3913.25,label
121,3017.0,label
89,814.3658536585366,label
102,3271.5,label
130,3210.4,label
130,4758.0,label
135,3913.25,label
137,3465.0,label
112,3866.5,label
135,3913.25,label
135,3913.25,label
126,3458.2,label
89,772.4047619047619,label
135,3913.25,label
122,3621.625,label
135,3913.25,label
146,3628.0,label
126,3458.2,label
135,3913.25,label
130,3680.6666666666665,label
94,1201.6666666666667,label
128,3339.5,label
135,3913.25,label
123,3805.1,label
177,73516.8125,label
135,3913.25,label
135,3913.25,label
92,1035.4883720930231,label
135,3913.25,label
126,3458.2,label
129,4537.0,label
135,3913.25,label
127,3389.8,label
126,3458.2,label
121,4013.2,label
134,3966.625,label
91,999.5434782608696,label
114,2643.4545454545455,label
126,3458.2,label
130,3680.6666666666665,label
139,3382.375,label
95,1401.1224489795918,label
135,34775.36,label
136,10483.484848484848,label
187,79248.03448275862,label
122,3386.75,label
126,3458.2,label
121,3842.875,label
126,3458.2,label
135,3913.25,label
91,947.8913043478261,label
135,3913.25,label
106,2518.6666666666665,label
126,3458.2,label
126,3458.2,label
110,4009.75,label
123,3224.3636363636365,label
120,3549.7272727272725,label
94,1201.6666666666667,label
117,3323.4166666666665,label
112,3108.1428571428573,label
139,3324.25,label
123,3805.1,label
114,4169.272727272727,label
90,766.3720930232558,label
116,4522.2,label
116,4522.2,label
120,3063.8333333333335,label
228,108934.45,label
135,3913.25,label
101,2923.6666666666665,label
123,4075.285714285714,label
112,3866.5,label
116,4522.2,label
89,772.4047619047619,label
116,4522.2,label
116,4522.2,label
131,3426.714285714286,label
135,3913.25,label
123,4568.363636363636,label
120,3549.7272727272725,label
135,3913.25,label
94,1191.936170212766,label
133,3569.3636363636365,label
132,3454.909090909091,label
130,3680.6666666666665,label
130,3680.6666666666665,label
95,1340.48,label
122,3252.909090909091,label
194,84282.62962962964,label
126,3458.2,label
122,3252.909090909091,label
91,943.8936170212766,label
137,3763.5,label
136,3645.1,label
120,3549.7272727272725,label
130,3680.6666666666665,label
94,1201.6666666666667,label
131,3758.153846153846,label
130,3680.6666666666665,label
130,3680.6666666666665,label
135,3913.25,label
135,3913.25,label
148,3822.4,label
90,748.9545454545455,label
146,3628.0,label
111,3135.8571428571427,label
135,3913.25,label
195,91675.52,label
130,3680.6666666666665,label
130,3960.7272727272725,label
119,3688.0,label
96,1496.0576923076924,label
118,3730.0,label
128,3938.3333333333335,label
126,3458.2,label
122,3621.625,label
94,1363.0,label
121,4013.2,label
116,4522.2,label
146,3471.5714285714284,label
135,3913.25,label
93,1160.25,label
126,4130.444444444444,label
212,92632.66666666667,label
126,3458.2,label
135,3913.25,label
119,3688.0,label
135,3913.25,label
90,748.9545454545455,label
109,3374.285714285714,label
135,3913.25,label
120,3063.8333333333335,label
127,3964.8571428571427,label
121,4013.2,label
134,33670.217948717946,label
110,3960.5833333333335,label
125,3938.4166666666665,label
120,4272.916666666667,label
121,4013.2,label
109,3374.285714285714,label
89,737.3409090909091,label
135,3913.25,label
135,3216.8571428571427,label
112,3866.5,label
126,3458.2,label
146,3628.0,label
209,101733.86363636363,label
113,3720.0833333333335,label
94,1175.891304347826,label
124,3561.5384615384614,label
129,9418.631578947368,label
130,3220.8333333333335,label
135,3913.25,label
94,1201.6666666666667,label
115,3328.375,label
141,3785.5555555555557,label
117,3323.4166666666665,label
135,3913.25,label
94,1175.5652173913043,label
122,3621.625,label
123,3426.769230769231,label
126,3458.2,label
185,79679.44827586207,label
133,3606.181818181818,label
94,1175.891304347826,label
125,3158.181818181818,label
125,3767.1428571428573,label
138,3659.3333333333335,label
121,3436.375,label
148,3822.4,label
135,3913.25,label
89,754.4651162790698,label
129,4537.0,label
112,3866.5,label
116,4522.2,label
112,3866.5,label
116,4522.2,label
135,3913.25,label
128,4172.272727272727,label
92,1289.7173913043478,label
119,3586.3571428571427,label
128,3938.3333333333335,label
193,84887.22222222222,label
130,3639.0,label
126,3458.2,label
146,3628.0,label
89,772.4047619047619,label
126,3458.2,label
135,3913.25,label
126,3458.2,label
135,3913.25,label
138,3659.3333333333335,label
135,3913.25,label
136,3645.1,label
94,1228.6136363636363,label
119,3258.0,label
120,3976.3076923076924,label
121,4013.2,label
141,3785.5555555555557,label
93,1233.891304347826,label
123,3805.1,label
121,3363.785714285714,label
186,79967.44827586207,label
135,3913.25,label
94,1175.5652173913043,label
121,3551.714285714286,label
130,3240.5714285714284,label
135,3913.25,label
120,3549.7272727272725,label
130,3639.0,label
95,1395.8125,label
123,3805.1,label
132,3490.818181818182,label
130,3680.6666666666665,label
135,3913.25,label
94,1201.6666666666667,label
125,3491.75,label
141,3785.5555555555557,label
198,82116.85714285714,label
130,3680.6666666666665,label
94,1228.6136363636363,label
131,3758.153846153846,label
119,4186.8,label
126,3458.2,label
146,3471.5714285714284,label
104,3090.125,label
93,1261.111111111111,label
121,4013.2,label
123,3916.7,label
124,4281.142857142857,label
99,3749.2727272727275,label
121,4397.75,label
93,1261.111111111111,label
117,3152.4444444444443,label
135,34691.86666666667,label
205,89604.64,label
116,3884.214285714286,label
131,4297.1,label
135,3913.25,label
93,1216.1489361702127,label
120,3955.153846153846,label
126,3458.2,label
131,4297.1,label
138,10900.09375,label
101,2385.4545454545455,label
95,1395.375,label
126,3458.2,label
116,3776.785714285714,label
114,3740.8888888888887,label
105,3757.3,label
129,3036.375,label
93,1184.7446808510638,label
213,96876.04347826086,label
135,3913.25,label
126,3458.2,label
112,3866.5,label
116,4522.2,label
135,3913.25,label
130,4758.0,label
89,772.4047619047619,label
135,3913.25,label
146,3628.0,label
116,4522.2,label
111,3135.8571428571427,label
116,4522.2,label
126,3458.2,label
122,3621.625,label
112,3314.285714285714,label
91,944.3333333333334,label
131,3426.714285714286,label
115,2884.0,label
133,3245.3333333333335,label
103,2768.0,label
142,3905.6666666666665,label
94,1228.6136363636363,label
125,3767.1428571428573,label
174,76064.80645161291,label
130,3680.6666666666665,label
130,3680.6666666666665,label
114,3837.1111111111113,label
94,1209.3333333333333,label
126,3610.0833333333335,label
139,3324.25,label
123,3224.3636363636365,label
116,3067.3,label
125,3013.0,label
126,3458.2,label
89,737.3409090909091,label
120,3063.8333333333335,label
111,3135.8571428571427,label
115,2738.285714285714,label
135,3913.25,label
129,3447.0833333333335,label
137,3465.0,label
128,3339.5,label
94,1201.6666666666667,label
231,113952.94736842105,label
123,4100.083333333333,label
120,3063.8333333333335,label
111,3135.8571428571427,label
160,2514.0,label
126,3458.2,label
115,4064.875,label
90,777.6,label
115,3569.0,label
115,3569.0,label
125,4234.0,label
126,3458.2,label
135,3913.25,label
130,3240.5714285714284,label
115,2738.285714285714,label
115,3569.0,label
116,2909.0,label
89,772.4047619047619,label
108,2794.5,label
148,3822.4,label
100,3443.875,label
120,3063.8333333333335,label
128,3898.8888888888887,label
110,3337.4,label
110,3604.153846153846,label
94,1424.7755102040817,label
202,90406.72,label
120,4272.916666666667,label
135,3913.25,label
125,3158.181818181818,label
95,1395.8125,label
141,3785.5555555555557,label
135,3913.25,label
126,3458.2,label
135,3913.25,label
119,4186.8,label
134,34839.14666666667,label
113,3503.5555555555557,label
116,4522.2,label
135,3913.25,label
135,3913.25,label
137,10449.823529411764,label
120,2783.230769230769,label
94,1134.6041666666667,label
126,3424.7,label
193,79176.6551724138,label
124,3946.0,label
123,4075.285714285714,label
135,3913.25,label
93,1160.25,label
138,3659.3333333333335,label
114,3478.8888888888887,label
142,3905.6666666666665,label
146,3628.0,label
145,3080.5,label
125,3767.1428571428573,label
91,770.5365853658536,label
108,2794.5,label
135,3913.25,label
135,3913.25,label
148,3822.4,label
135,3913.25,label
141,3785.5555555555557,label
146,3471.5714285714284,label
91,999.5434782608696,label
121,3436.375,label
187,79695.44827586207,label
129,3305.0,label
135,3913.25,label
130,3680.6666666666665,label
94,1134.75,label
120,3063.8333333333335,label
122,3621.625,label
146,3471.5714285714284,label
129,3840.2727272727275,label
135,3913.25,label
95,1367.3265306122448,label
126,3458.2,label
141,3785.5555555555557,label
124,4338.0,label
135,3913.25,label
94,1183.391304347826,label
122,3621.625,label
202,86600.15384615384,label
115,4003.2727272727275,label
112,3866.5,label
146,3471.5714285714284,label
89,754.4651162790698,label
119,3324.0,label
117,3152.4444444444443,label
109,3374.285714285714,label
123,3224.3636363636365,label
120,3063.8333333333335,label
112,3866.5,label
138,3659.3333333333335,label
107,3856.6666666666665,label
92,1021.9772727272727,label
112,3677.0,label
112,3866.5,label
112,3866.5,label
96,3272.0,label
116,4522.2,label
116,4522.2,label
148,3822.4,label
135,3913.25,label
116,4522.2,label
92,987.1162790697674,label
116,4522.2,label
109,3374.285714285714,label
208,101756.59090909091,label
109,3374.285714285714,label
135,3913.25,label
142,3905.6666666666665,label
127,4049.090909090909,label
92,1223.3541666666667,label
124,4281.142857142857,label
112,3677.0,label
125,3938.4166666666665,label
141,3785.5555555555557,label
93,1261.111111111111,label
109,4084.75,label
106,3548.5,label
128,3938.3333333333335,label
126,4130.444444444444,label
135,3913.25,label
94,1143.6326530612246,label
132,35307.25675675676,label
183,80342.86206896552,label
132,11200.870967741936,label
124,2630.6666666666665,label
110,3240.0,label
124,4338.0,label
137,3719.0,label
95,1316.4,label
146,3471.5714285714284,label
108,2794.5,label
126,3458.2,label
125,3128.6363636363635,label
148,3822.4,label
91,944.3333333333334,label
127,3145.375,label
117,3152.4444444444443,label
122,3252.909090909091,label
482,159840.8598130841,label
532,134756.36458333334,label
235,134486.96103896105,label
120,3549.7272727272725,label
111,3135.8571428571427,label
126,3458.2,label
138,3659.3333333333335,label
130,3210.4,label
135,3913.25,label
146,3628.0,label
89,772.4047619047619,label
135,3913.25,label
135,3913.25,label
126,3458.2,label
130,3680.6666666666665,label
122,3621.625,label
132,3454.909090909091,label
138,3659.3333333333335,label
423,155420.93388429753,label
497,147192.79024390245,label
130,3240.5714285714284,label
122,3621.625,label
125,3370.153846153846,label
93,1184.6382978723404,label
345,203688.13513513515,label
127,3725.25,label
109,3374.285714285714,label
146,3628.0,label
109,3374.285714285714,label
116,4522.2,label
116,4522.2,label
89,772.4047619047619,label
112,3866.5,label
148,3822.4,label
116,4522.2,label
135,3913.25,label
146,3628.0,label
120,3063.8333333333335,label
119,2632.4285714285716,label
135,3913.25,label
135,3913.25,label
89,772.4047619047619,label
148,3822.4,label
135,3913.25,label
135,3913.25,label
141,3785.5555555555557,label
117,3323.4166666666665,label
130,3680.6666666666665,label
135,41349.71666666667,label
104,3557.2727272727275,label
136,3645.1,label
139,3382.375,label
113,2608.1666666666665,label
121,3436.375,label
95,1340.98,label
132,3490.818181818182,label
135,3913.25,label
122,3621.625,label
137,3465.0,label
122,3621.625,label
95,1382.0,label
88,893.5652173913044,label
126,4130.444444444444,label
135,3913.25,label
118,3421.25,label
128,4172.272727272727,label
130,38248.230769230766,label
113,3720.0833333333335,label
124,4281.142857142857,label
130,3680.6666666666665,label
146,3471.5714285714284,label
125,3767.1428571428573,label
130,3639.0,label
93,1184.6382978723404,label
124,4699.545454545455,label
128,3339.5,label
132,3490.818181818182,label
135,3913.25,label
92,1192.3541666666667,label
137,3763.5,label
122,3252.909090909091,label
128,3938.3333333333335,label
193,81521.96428571429,label
94,1201.6666666666667,label
126,3424.7,label
132,3527.8888888888887,label
130,3680.6666666666665,label
126,3458.2,label
93,1184.7446808510638,label
137,3719.0,label
132,3454.909090909091,label
126,3458.2,label
126,3458.2,label
102,1962.0754716981132,label
125,3813.5714285714284,label
135,3913.25,label
116,2367.125,label
126,3458.2,label
135,3913.25,label
111,3135.8571428571427,label
202,94177.91666666667,label
135,3913.25,label
89,772.4047619047619,label
129,3840.2727272727275,label
139,3324.25,label
119,4186.8,label
126,3424.7,label
133,3606.181818181818,label
120,24076.347826086956,label
115,3569.0,label
133,11610.6,label
126,2751.8888888888887,label
127,3365.0,label
110,3342.285714285714,label
125,3767.1428571428573,label
109,3350.714285714286,label
126,3458.2,label
116,4522.2,label
89,766.7441860465116,label
104,4541.166666666667,label
148,3822.4,label
135,3913.25,label
126,3458.2,label
146,3628.0,label
126,3458.2,label
214,105871.85714285714,label
126,3458.2,label
126,3458.2,label
95,1424.9787234042553,label
132,3527.8888888888887,label
141,3785.5555555555557,label
130,3680.6666666666665,label
126,3458.2,label
95,1395.2916666666667,label
136,3601.6,label
126,3424.7,label
126,3458.2,label
126,3458.2,label
95,1340.98,label
142,3157.75,label
114,3478.8888888888887,label
126,3458.2,label
202,90406.72,label
93,1182.75,label
135,3913.25,label
124,4338.0,label
130,3680.6666666666665,label
115,3569.0,label
120,3976.3076923076924,label
112,3866.5,label
413,156432.74615384615,label
520,130400.53312302839,label
505,131480.11946902654,label
473,153437.25229357797,label
78,11477.088128772635,label
518,186494.57142857142,label
138,3659.3333333333335,label
135,3913.25,label
135,3913.25,label
92,964.7727272727273,label
121,3017.0,label
115,3569.0,label
116,4522.2,label
126,3458.2,label
135,3913.25,label
120,3878.5,label
402,264294.756097561,label
115,3569.0,label
129,4537.0,label
89,754.4651162790698,label
133,4223.875,label
114,3060.1428571428573,label
135,3913.25,label
130,4758.0,label
126,3458.2,label
135,3913.25,label
121,3436.375,label
116,4522.2,label
92,1012.0454545454545,label
125,3767.1428571428573,label
137,3763.5,label
135,3913.25,label
139,3382.375,label
118,3123.3333333333335,label
93,1136.6530612244899,label
128,3339.5,label
142,3905.6666666666665,label
199,84863.18518518518,label
118,3302.0,label
93,1210.304347826087,label
133,3606.181818181818,label
133,3418.0,label
112,2944.4285714285716,label
220,106901.84210526316,label
94,1175.891304347826,label
119,3294.5555555555557,label
122,2964.0,label
120,3277.714285714286,label
146,3471.5714285714284,label
104,3090.125,label
139,3382.375,label
91,1021.7333333333333,label
136,3645.1,label
126,3458.2,label
123,3805.1,label
213,96653.39130434782,label
94,1228.6136363636363,label
122,3510.6875,label
122,2964.0,label
120,3549.7272727272725,label
135,3913.25,label
117,1991.5294117647059,label
92,1498.081081081081,label
131,3426.714285714286,label
130,3680.6666666666665,label
112,3165.1,label
142,3905.6666666666665,label
94,1228.6136363636363,label
130,3680.6666666666665,label
118,3271.6,label
120,3549.7272727272725,label
226,103810.19047619047,label
95,1424.9787234042553,label
126,3458.2,label
121,3436.375,label
126,3458.2,label
139,3382.375,label
130,3680.6666666666665,label
93,1160.1458333333333,label
121,4013.2,label
112,3569.153846153846,label
133,3944.6153846153848,label
128,4016.3636363636365,label
92,1289.7173913043478,label
136,36151.31168831169,label
139,3382.375,label
130,3680.6666666666665,label
213,96653.39130434782,label
130,3680.6666666666665,label
142,3905.6666666666665,label
93,1184.7446808510638,label
134,3358.5454545454545,label
130,3680.6666666666665,label
131,9521.333333333334,label
131,3622.8888888888887,label
89,772.4047619047619,label
146,3628.0,label
120,3063.8333333333335,label
135,3913.25,label
116,3385.1666666666665,label
135,3913.25,label
126,3458.2,label
148,3822.4,label
