"No.","average","variance","class"
253,116,4522.2,label
254,112,3866.5,label
255,116,4522.2,label
256,116,4522.2,label
257,135,3913.25,label
258,144,2693.75,label
259,114,3316.6,label
260,126,3458.2,label
261,89,772.4047619047619,label
262,137,3390.8333333333335,label
263,115,3569.0,label
264,126,3458.2,label
265,135,3913.25,label
266,135,3913.25,label
267,135,3913.25,label
268,138,3659.3333333333335,label
269,126,3458.2,label
270,135,3913.25,label
271,92,964.7727272727273,label
272,222,109809.45,label
273,119,4186.8,label
274,135,3913.25,label
275,130,3680.6666666666665,label
276,137,3719.0,label
277,136,3074.0,label
278,89,772.4047619047619,label
279,121,3436.375,label
280,135,3913.25,label
281,137,3763.5,label
282,135,3913.25,label
283,135,3913.25,label
284,125,3767.1428571428573,label
285,126,3458.2,label
286,89,754.4651162790698,label
287,126,3458.2,label
288,135,3913.25,label
289,135,3913.25,label
290,130,3680.6666666666665,label
291,123,3583.25,label
292,122,4196.0,label
293,131,3426.714285714286,label
294,130,39832.72580645161,label
295,137,3763.5,label
296,121,4013.2,label
297,141,3785.5555555555557,label
298,130,3680.6666666666665,label
299,92,1012.0454545454545,label
300,130,3680.6666666666665,label
301,135,3913.25,label
302,146,3628.0,label
303,115,3569.0,label
304,127,3389.8,label
305,130,3210.4,label
306,135,3913.25,label
307,89,754.4651162790698,label
308,138,3659.3333333333335,label
309,135,3913.25,label
310,126,3458.2,label
311,129,3840.2727272727275,label
312,134,3966.625,label
313,101,2923.6666666666665,label
314,146,3471.5714285714284,label
315,133,40909.46666666667,label
316,129,33442.670886075946,label
317,115,3684.0,label
318,135,3913.25,label
319,138,3480.0,label
320,135,3913.25,label
321,131,3426.714285714286,label
322,91,975.0666666666667,label
323,137,3763.5,label
324,146,3628.0,label
325,135,3913.25,label
326,135,3913.25,label
327,135,3913.25,label
328,126,3458.2,label
329,135,3913.25,label
330,131,3426.714285714286,label
331,106,5554.246376811594,label
332,129,3028.0,label
333,126,3754.6666666666665,label
334,116,4111.909090909091,label
335,142,3927.5714285714284,label
336,226,95935.0,label
337,92,1385.3461538461538,label
338,109,4571.363636363636,label
